Strategy,Sharpe,Sortino,Volatility,CAGR,Max Drawdown,Hit Ratio,Trades,Avg Profit/Trade,Ticker,Z_threshold,MOM_threshold,Transaction_cost
Mean Reversion,0.33,0.51,0.78,-0.04,1.65,0.41,13,-0.0263,RUN,0.25,0.005,0.0005
Momentum,-0.24,-0.3,0.78,-0.39,3.49,0.44,21,0.01,RUN,0.25,0.005,0.0005
Combined,0.11,0.06,0.33,-0.02,1.45,0.07,16,-0.0063,RUN,0.25,0.005,0.0005
Buy & Hold,0.37,0.58,0.8,-0.02,7.98,0.5,-,-,RUN,0.25,0.005,0.0005
Mean Reversion,0.55,0.7,0.52,0.16,1.05,0.36,5,0.0042,DOCN,0.25,0.005,0.0005
Momentum,-0.52,-0.63,0.59,-0.38,1.41,0.39,13,0.0076,DOCN,0.25,0.005,0.0005
Combined,-0.31,-0.16,0.23,-0.09,0.88,0.09,14,0.0021,DOCN,0.25,0.005,0.0005
Buy & Hold,0.25,0.38,0.68,-0.06,2.6,0.49,-,-,DOCN,0.25,0.005,0.0005
Mean Reversion,0.29,0.35,0.19,0.04,0.57,0.41,5,0.0017,SPY,0.25,0.005,0.0005
Momentum,0.34,0.4,0.19,0.05,0.43,0.48,13,0.0052,SPY,0.25,0.005,0.0005
Combined,0.64,0.46,0.09,0.05,0.27,0.18,12,0.0016,SPY,0.25,0.005,0.0005
Buy & Hold,0.9,1.09,0.2,0.17,0.49,0.56,-,-,SPY,0.25,0.005,0.0005
Mean Reversion,-0.84,-1.12,0.29,-0.25,0.86,0.4,5,-0.0022,AAPL,0.25,0.005,0.0005
Momentum,0.47,0.59,0.29,0.1,0.9,0.45,13,-0.0046,AAPL,0.25,0.005,0.0005
Combined,-0.49,-0.2,0.12,-0.06,0.43,0.03,16,-0.0035,AAPL,0.25,0.005,0.0005
Buy & Hold,1.18,1.64,0.31,0.37,1.47,0.54,-,-,AAPL,0.25,0.005,0.0005
Mean Reversion,-0.65,-0.83,0.28,-0.2,0.89,0.4,4,0.0049,MSFT,0.25,0.005,0.0005
Momentum,0.1,0.12,0.28,-0.01,0.65,0.45,15,-0.0158,MSFT,0.25,0.005,0.0005
Combined,-0.61,-0.22,0.14,-0.09,0.44,0.05,13,-0.017,MSFT,0.25,0.005,0.0005
Buy & Hold,1.01,1.38,0.29,0.28,1.3,0.54,-,-,MSFT,0.25,0.005,0.0005
Mean Reversion,-0.09,-0.13,0.3,-0.07,1.43,0.39,7,0.0203,GOOGL,0.25,0.005,0.0005
Momentum,0.07,0.09,0.3,-0.02,1.12,0.46,15,-0.0129,GOOGL,0.25,0.005,0.0005
Combined,-0.13,-0.07,0.1,-0.02,0.42,0.06,12,-0.0058,GOOGL,0.25,0.005,0.0005
Buy & Hold,0.85,1.17,0.31,0.24,1.26,0.54,-,-,GOOGL,0.25,0.005,0.0005
Mean Reversion,-0.71,-0.91,0.49,-0.38,1.27,0.38,7,0.011,NVDA,0.25,0.005,0.0005
Momentum,0.84,1.23,0.5,0.34,3.2,0.46,11,-0.0155,NVDA,0.25,0.005,0.0005
Combined,0.0,0.0,0.13,-0.01,0.24,0.01,12,-0.0021,NVDA,0.25,0.005,0.0005
Buy & Hold,1.45,2.29,0.52,0.86,10.85,0.55,-,-,NVDA,0.25,0.005,0.0005
Mean Reversion,-0.01,-0.01,0.33,-0.05,1.24,0.41,11,-0.0009,AMZN,0.25,0.005,0.0005
Momentum,0.0,0.01,0.33,-0.05,0.63,0.43,22,-0.0052,AMZN,0.25,0.005,0.0005
Combined,0.14,0.06,0.1,0.01,0.26,0.05,20,0.0029,AMZN,0.25,0.005,0.0005
Buy & Hold,0.69,0.99,0.34,0.19,1.36,0.52,-,-,AMZN,0.25,0.005,0.0005
Mean Reversion,-0.37,-0.48,0.86,-0.5,1.09,0.42,6,-0.0072,PLUG,0.25,0.005,0.001
Momentum,0.25,0.35,0.86,-0.14,24.48,0.43,13,-0.0122,PLUG,0.25,0.005,0.001
Combined,-0.14,-0.1,0.35,-0.11,0.83,0.11,9,-0.0115,PLUG,0.25,0.005,0.001
Buy & Hold,0.54,0.91,0.89,0.09,53.81,0.46,-,-,PLUG,0.25,0.005,0.001
