Strategy,Sharpe,Sortino,Volatility,CAGR,Max Drawdown,Hit Ratio,Trades,Avg Profit/Trade,Ticker,Z_threshold,MOM_threshold,Transaction_cost
Combined,-0.08,-0.07,0.18,-0.03,0.41,0.14,125,0.0011,MSFT,1.0,0.02,0.001
Buy & Hold,1.01,1.38,0.29,0.28,1.3,0.54,-,-,MSFT,1.0,0.02,0.001
Mean Reversion,-0.38,-0.54,0.3,-0.15,0.84,0.4,19,0.0098,GOOGL,1.0,0.02,0.001
Momentum,-0.76,-1.04,0.31,-0.25,0.86,0.48,155,-0.0007,GOOGL,1.0,0.02,0.001
Combined,-0.91,-0.73,0.17,-0.16,0.78,0.12,142,-0.0005,GOOGL,1.0,0.02,0.001
Buy & Hold,0.85,1.17,0.31,0.24,1.26,0.54,-,-,GOOGL,1.0,0.02,0.001
Mean Reversion,-1.04,-1.4,0.5,-0.47,1.09,0.4,13,0.0124,NVDA,1.0,0.02,0.001
Momentum,0.65,1.0,0.52,0.22,1.5,0.51,179,0.0042,NVDA,1.0,0.02,0.001
Combined,-0.28,-0.24,0.33,-0.14,0.74,0.15,164,0.0008,NVDA,1.0,0.02,0.001
Buy & Hold,1.45,2.29,0.52,0.86,10.85,0.55,-,-,NVDA,1.0,0.02,0.001
Mean Reversion,-0.01,-0.01,0.33,-0.05,0.94,0.43,35,0.0051,AMZN,1.0,0.02,0.001
Momentum,-0.08,-0.12,0.34,-0.08,0.72,0.48,157,0.0021,AMZN,1.0,0.02,0.001
Combined,-0.04,-0.03,0.19,-0.03,0.51,0.14,156,0.0013,AMZN,1.0,0.02,0.001
Buy & Hold,0.69,0.99,0.34,0.19,1.36,0.52,-,-,AMZN,1.0,0.02,0.001
Mean Reversion,-0.45,-0.6,0.19,-0.1,0.52,0.38,17,-0.0023,SPY,1.0,0.03,0.0005
